銘柄コード,ポジティブ比,決算前終値,決算後終値,騰落率,銘柄情報,TOPIX騰落率
4373,0.5714285714285714,2249,2355,1.0471320586927524,"[4373,シンプレクス・ホールディングス,プライム,情報・通信業]",1.0165917288403576
5031,0.6666666666666666,340,422,1.2411764705882353,"[5031,モイ,グロース,情報・通信業]",1.0128841967687954
